"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"cacat_kategori_1",1,2.0695120302961,2.0695120302961,0.752093871111785,0.386843125917021
"cacat_kategori_2",1,58.7710051495566,58.7710051495566,21.3583260812146,6.78408446073537e-06
"kadar_air",1,0.0172479395738063,0.0172479395738063,0.00626817793415296,0.936974329823845
"Residuals",202,555.83677274466,2.75166719180525,NA,NA
