"","skor_kualitas","cacat_kategori_1","cacat_kategori_2","kadar_air"
"skor_kualitas",1,-0.0579293861815792,-0.314043649663933,-0.0467098668247526
"cacat_kategori_1",-0.0579293861815792,1,0.166583934495307,0.0930133310631027
"cacat_kategori_2",-0.314043649663933,0.166583934495307,1,0.130775975694945
"kadar_air",-0.0467098668247526,0.0930133310631027,0.130775975694945,1
