"term","estimate","std.error","statistic","p.value"
"(Intercept)",84.199283751679,1.00398800418094,83.8648304571818,6.16783256358809e-159
"cacat_kategori_1",-0.015733401716648,0.198524386620102,-0.0792517331724872,0.936910851933773
"cacat_kategori_2",-0.183247121087218,0.0400082095823335,-4.58023798116011,8.11625935450896e-06
"kadar_air",-0.00741916308489863,0.0937096378566385,-0.0791718253809584,0.936974329823845
